title,price,rating,review_count,image_url,product_url,category
"Shashwani Hdmi to Displayport Cable, Functional Display Port to Hdmi with Widescreen Function for Data Comparison for Engineer'",,,,https://m.media-amazon.com/images/I/21kJPUQNoHL.jpg,https://www.amazon.in/Shashwani-Displayport-Functional-Widescreen-Comparison/dp/B0D93P19GF,Price: High to Low
AudioQuest Vodka 48 1.5m 8K-10K 48Gbps HDMI Cable (5.0ft),"97,355.",5.0,16 ratings,https://m.media-amazon.com/images/I/71glrGdr8LL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Vodka-8K-10K-48Gbps-Cable/dp/B08JFQDX5B,Price: High to Low
"UltraHigh-Speed 4K HDMI Cable 1.5 Meter (100, BLACK, 1 MTR)","94,500.",,,https://m.media-amazon.com/images/I/51YBWfHT++L._SL1500_.jpg,https://www.amazon.in/UltraHigh-Speed-HDMI-Cable-Meter-BLACK/dp/B0F1Z4RYYN,Price: High to Low
"UltraHigh-Speed 4K HDMI Cable 1.5 Meter (99, BLACK, 1 MTR)","93,500.",,,https://m.media-amazon.com/images/I/51YBWfHT++L._SL1500_.jpg,https://www.amazon.in/UltraHigh-Speed-HDMI-Cable-Meter-BLACK/dp/B0F1Z2XY3C,Price: High to Low
AudioQuest Forest 18 Long-Length High Speed 18Gbps HDMI 2.0b Cable,"93,161.",5.0,3 ratings,https://m.media-amazon.com/images/I/611QOMHNWAL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Forest-Digital-Ethernet-Connection/dp/B076J3C8Z6,Price: High to Low
"PlugLug HDMI Cables (250 feet, Black)","92,710.",5.0,1 rating,https://m.media-amazon.com/images/I/61jDHdNt4uL._SL1500_.jpg,https://www.amazon.in/PlugLug-HDMI-Cables-feet-Black/dp/B08LT7GQ6R,Price: High to Low
SVS SoundPath 8K Ultra High Speed 2.1a HDMI Cable - 1m,"6,992.",5.0,42 ratings,https://m.media-amazon.com/images/I/5118L6szZ4L._SL1200_.jpg,https://www.amazon.in/SVS-SoundPath-Ultra-Speed-Cable/dp/B0B5BB5YJ6,Avg. Customer Review
"10K 8K 4K HDMI 2.1 Cable 8ft, 48Gbps Ultra High Speed HDMI Cable Braided Cord-8K@60Hz 4K@120Hz, Dynamic HDR, eARC, HDCP 2.2&2.3, 3D, for TV/Laptop/Monitor/PS5/Xbox/Projector/Entertainment/Sound System","3,695.",4.9,83 ratings,https://m.media-amazon.com/images/I/71KrV07E+uL._SL1500_.jpg,https://www.amazon.in/Braided-Cord-8K-Dynamic-Projector-Entertainment/dp/B0DRCHMZSH,Avg. Customer Review
UGREEN 10107 High Speed Full Copper HDMI 2.0 to HDMI Male Cable 2M Standard HD104 4K Video,475.,4.9,82 ratings,https://m.media-amazon.com/images/I/51A9onbEOYL._SL1001_.jpg,https://www.amazon.in/UGREEN-10107-Speed-Copper-Standard/dp/B00S4JQU8U,Avg. Customer Review
"Anker 8K,60Hz HDMI Cable,Ultra High Speed 4K,120Hz 48Gbps 6.6 ft Ultra HD HDMI to HDMI Cord,Support Dynamic HDR,eARC,Dolby Atmos,Compatible with PlayStation 5,Xbox Series X,Samsung TVs & Mor,Gold","5,368.",4.8,"2,839 ratings",https://m.media-amazon.com/images/I/61faum1OHnL._SL1500_.jpg,https://www.amazon.in/Anker-Support-Dynamic-Compatible-PlayStation/dp/B08MZYQ43S,Avg. Customer Review
